Symbol	TCGA-44-2657-11	TCGA-50-5939-11	TCGA-55-6979-11	TCGA-55-6970-11	TCGA-55-6984-11	TCGA-44-6777-11	TCGA-44-6146-11	TCGA-44-3396-11
TSPAN6	893	836	516	793	2068	692	550	2630
TNMD	1	6	0	0	5	2	1	1
DPM1	946	831	589	784	1582	662	730	1674
SCYL3	660	394	361	444	936	331	494	1028
C1orf112	157	101	88	82	174	65	78	200
FGR	2994	2314	3095	2432	3119	2949	1549	10003
CFH	2132	3222	1655	3258	4839	5278	4057	10197
FUCA2	2432	2012	1593	1683	4167	1973	1711	4671
GCLC	856	618	832	739	1408	571	526	2402
NFYA	1127	1057	760	1042	1394	670	821	1859
STPG1	384	420	195	343	1254	383	305	1360
NIPAL3	3100	2541	1486	2493	5311	2207	2704	5732
LAS1L	1566	1083	727	836	1961	1012	986	2375
ENPP4	1672	2946	1278	1947	5273	2036	2042	5921
SEMA3F	1744	2424	544	1310	1463	1409	1334	4866
CFTR	3126	1423	1465	2492	2195	1227	764	3884
ANKIB1	1494	1866	1063	1827	3403	1208	1746	3390
CYP51A1	282	514	204	308	714	503	388	954
KRIT1	1001	968	577	948	1703	683	878	1814
RAD52	239	169	146	264	496	84	239	339
BAD	1853	967	765	649	2935	1231	944	2543
LAP3	6434	4286	5229	6469	8459	4528	4345	11109
HS3ST1	415	204	74	148	506	181	134	944
AOC1	150	16	38	42	55	124	14	71
WNT16	24	0	0	2	12	6	1	57
HECW1	7	10	18	5	4	24	13	46
MAD1L1	1812	903	748	742	1385	974	783	2323
LASP1	13450	10760	6638	8224	14840	9462	8107	22591
SNX11	1651	772	564	878	1989	773	664	2049
TMEM176A	3170	1103	1326	1320	1066	1891	1103	3627
M6PR	4288	3430	2688	3288	5532	3387	2825	7886
KLHL13	88	69	42	59	297	125	66	385
CYP26B1	911	640	92	185	479	871	413	327
ICA1	892	671	613	704	1650	547	505	1309
DBNDD1	365	208	163	151	705	341	254	559
ALS2	999	1132	678	991	1830	754	1163	2124
CASP10	1412	1786	960	1433	2290	1076	1198	3085
CFLAR	7397	10453	7685	10629	15859	6051	9829	24660
TFPI	9207	8900	3025	8849	9771	8031	6343	19584
NDUFAF7	389	283	223	345	488	199	245	473
RBM5	3037	2140	2076	3204	5227	1339	2660	4604
MTMR7	70	71	48	63	157	40	53	106
SLC7A2	1890	2768	631	2197	2098	841	1227	5340
ARF5	4742	2674	2181	2088	6058	2469	2189	6979
SARM1	395	332	190	290	576	220	348	612
POLDIP2	4320	2489	1665	1815	4460	2325	2008	5365
PLXND1	11006	14042	5393	8016	9550	9426	9019	25905
AK2	4729	3162	2075	2764	5658	2757	2650	6259
CD38	1146	298	1527	628	2437	655	1639	2779
FKBP4	2615	1600	988	1732	3440	1907	1491	3523
KDM1A	2467	2070	1288	1669	3452	1621	1707	4523
RBM6	2615	1932	1737	2640	4237	1175	2233	3249
CAMKK1	559	366	301	207	741	338	416	869
RECQL	913	952	575	916	1180	852	982	2336
