Symbol	TCGA-44-2657-01	TCGA-50-5939-01	TCGA-55-6979-01	TCGA-55-6970-01	TCGA-55-6984-01	TCGA-44-6777-01	TCGA-44-6146-01	TCGA-44-3396-01
TSPAN6	2673	1599	3131	4040	853	1734	724	9095
TNMD	5	1	0	0	0	3	15	3
DPM1	1326	817	1044	2024	743	783	650	4536
SCYL3	809	410	618	1640	778	575	896	1169
C1orf112	275	213	545	934	166	241	354	981
FGR	1135	790	1253	1098	318	2366	81	4645
CFH	4202	2590	2804	8567	1107	6260	3073	11883
FUCA2	2093	3495	2911	6439	2802	3655	1209	10682
GCLC	2029	2495	2305	30240	2217	951	1403	1547
NFYA	1504	976	1249	6247	1474	1541	1400	2966
STPG1	396	741	232	518	397	414	266	795
NIPAL3	2623	1812	755	2766	1663	2339	1715	3508
LAS1L	1547	1083	1373	2113	1147	1449	371	3356
ENPP4	2244	842	1008	3943	1166	2463	1586	3388
SEMA3F	737	2665	1242	2153	2209	1752	268	5485
CFTR	574	240	479	2324	591	813	1775	333
ANKIB1	1802	2187	2378	5315	1330	3178	3885	14381
CYP51A1	106	287	94	678	410	280	44	618
KRIT1	1183	837	985	2583	788	1038	2099	3791
RAD52	255	80	151	445	432	129	367	490
BAD	1358	1401	991	1277	955	889	93	5738
LAP3	5859	3585	8579	12558	1993	7190	776	15447
HS3ST1	803	465	1262	403	3587	699	1200	2433
AOC1	2095	156	701	59	2792	359	638	126
WNT16	36	2	10	12	14	3	51	14
HECW1	61	99	32	28	7	388	127	160
MAD1L1	1008	831	1638	1400	1038	1250	287	2358
LASP1	7531	12839	14482	15218	12768	16157	4505	29992
SNX11	1454	866	996	1312	715	1151	276	4031
TMEM176A	3138	1488	4513	2911	1399	5580	286	9907
M6PR	3079	2324	2814	5954	3156	5724	1168	9070
KLHL13	140	40	66	67	29	93	44	148
CYP26B1	112	351	181	177	26	357	67	225
ICA1	1002	690	2221	3140	1721	632	1801	3711
DBNDD1	603	554	483	2205	1098	345	75	4755
ALS2	978	803	642	3438	588	850	1621	2602
CASP10	1972	1518	2444	2370	1054	1399	1259	7087
CFLAR	5908	4210	5851	14009	4258	7132	9459	23588
TFPI	3393	19167	4505	18481	5990	2327	8290	10213
NDUFAF7	373	272	558	807	232	320	615	1440
RBM5	2840	1259	2611	4089	2164	1795	5132	7590
MTMR7	48	42	49	146	46	31	396	187
SLC7A2	546	5426	426	49193	392	729	746	1173
ARF5	4738	3260	3924	5364	3247	3509	368	20332
SARM1	290	88	164	286	169	391	317	936
POLDIP2	2763	3725	3794	5617	2554	4401	610	12508
PLXND1	4702	9257	6827	8651	2241	16963	1112	24537
AK2	6915	3815	4146	6422	2767	4676	1963	13791
CD38	1976	1288	1525	2109	170	494	247	2592
FKBP4	1906	2297	1728	10900	7530	5601	824	5855
KDM1A	3248	2816	2823	5597	1691	2453	1490	8386
RBM6	2366	1097	2948	2909	1732	1423	3559	5993
CAMKK1	395	302	280	420	141	387	125	385
RECQL	843	618	818	1728	770	1744	560	2810
CCDC132	865	622	627	2507	531	1113	1344	3677
HSPB6	596	179	146	217	55	293	11	324
ARHGAP33	413	66	670	275	161	75	28	1101
NDUFAB1	1554	1350	1334	2709	1345	1506	300	5404
PDK4	1221	648	1042	5589	1100	2043	2007	5034
SLC22A16	6	6	7	26	1	19	3	23
ZMYND10	343	318	36	100	291	53	15	577
ABCB5	4	1	7	7	0	5	5	12
ARX	25	9	20	30	7	53	23	28
SLC25A13	1072	1137	1020	2808	921	865	1234	4877
ST7	1463	943	1085	2759	776	1841	975	3454
CDC27	1889	3707	2381	5332	1778	3631	3526	7730
SLC4A1	0	3	2	10	1	2	7	11
CALCR	6	5	11	25	3	169	11	13
HCCS	822	730	569	1614	747	1009	405	3581
DVL2	965	1347	710	2085	396	972	225	2184
PRSS22	771	1316	1156	982	1854	153	297	7969
UPF1	6085	3469	3746	8691	3429	5291	1022	10129
SKAP2	2767	2792	3851	3744	877	4278	1906	7218
SLC25A5	11581	7272	7256	25682	8504	11551	1226	20822
CCDC109B	779	580	1162	848	783	1106	425	3185
HOXA11	7	5	4	14	0	3	0	5
POLR2J	1260	669	931	1632	780	1199	89	4886
DHX33	547	1107	635	2194	371	812	689	2060
MEOX1	171	12	42	30	14	66	7	88
THSD7A	227	152	189	179	117	254	544	564
LIG3	655	903	1219	2120	999	1948	1001	2874
RPAP3	919	466	945	2236	408	1123	896	2645
ACSM3	407	143	299	1388	190	409	375	391
CIAPIN1	1464	1289	1207	2647	1139	1214	427	6383
SPPL2B	1577	782	1231	1299	1724	816	393	5398
FAM214B	532	739	1227	1515	1810	1046	559	3063
COPZ2	353	183	331	196	58	971	165	1374
PRKAR2B	703	313	758	498	71	1343	382	756
MSL3	1718	711	1067	1640	624	1097	765	4133
CREBBP	4454	5133	2901	7363	2666	5976	4609	7983
BZRAP1	1319	58	494	255	202	237	175	1723
MPO	17	9	40	17	8	18	3	80
PON1	51	3	34	8	4	27	59	45
GCFC2	539	849	480	2158	483	495	1299	1338
WDR54	704	669	403	275	320	617	61	2581
CROT	629	456	618	989	454	571	601	2202
ABCB4	81	26	196	83	41	99	27	210
KMT2E	3708	2358	2166	7647	2496	4510	8758	7489
RHBDD2	4810	4339	2895	4192	2750	3767	546	21462
SOX8	202	33	29	82	53	28	25	31
IBTK	1769	2172	2164	7584	2326	2704	6393	6092
ZNF195	765	323	977	1147	681	310	1213	2551
MYCBP2	2783	2470	2153	6045	1255	3294	6522	5131
FBXL3	2355	1976	1711	3433	1449	2350	3207	4952
